Nodes;Addjested Nodes
392977467;{1256389774,1364568426,392977209,}
392977471;{392977472,1365701343,}
392977472;{392977473,392977471,}
392977473;{392977472,}
392977474;{392977476,1365701389,1365701375,}
392977476;{1365701349,392977474,}
392977477;{1365701343,1365701349,}
392977510;{1314336026,392977513,}
392977511;{1314336026,}
392977512;{392977513,1314336052,}
392977513;{392977510,392977512,}
392977514;{1314336052,1748227266,}
392977518;{1748227263,392978088,}
392977520;{392978088,1314336084,}
392977521;{1314336084,392978397,392978100,}
392977536;{1364568613,392977205,392977680,}
392977537;{392977539,392977550,}
392977539;{392977542,392977537,}
392977542;{392977543,392977539,}
392977543;{392977655,392977542,}
392977547;{392977549,392977565,392977567,}
392977548;{392977550,392977549,}
392977549;{392977548,392977547,}
392977550;{392977537,392977548,}
392977552;{392977557,392977553,}
392977553;{392977552,392977565,}
392977556;{392977559,392977557,}
392977557;{392977556,392977552,}
392977558;{392977659,392977559,}
392977559;{392977558,392977556,}
392977560;{392977561,392977563,}
392977561;{392977566,392977560,}
392977562;{392977563,392977572,}
392977563;{392977560,392977562,}
392977565;{392977553,392977547,}
392977566;{392977567,392977561,}
392977567;{392977547,392977566,}
392977568;{392977569,392990050,392990052,}
392977569;{392977573,392977568,}
392977570;{392977579,}
392977571;{392977572,392977574,}
392977572;{392977562,392977571,}
392977573;{392977574,392977569,}
392977574;{392977571,392977573,}
392977575;{392977582,392977576,}
392977576;{392977575,392977614,}
392977578;{392977614,392977587,}
392977579;{392977570,392977580,}
392977580;{392977579,392977581,}
392977581;{392977580,392977582,}
392977582;{392977581,392977575,}
392977585;{1365701393,419411500,}
392977587;{392977578,392990048,}
392977588;{392977589,392990064,}
392977589;{392977588,392977654,}
392977592;{392977348,392977387,1831943682,}
392977599;{1831943682,392977363,1347759107,}
392977600;{1258206099,392977438,1749758214,}
392977603;{1748227280,1371537348,}
392977605;{392977630,392977387,1346788494,}
392977606;{392977612,}
392977609;{1371537348,1256703452,1749758104,}
392977610;{392977611,}
392977611;{392977610,392977615,}
392977612;{392977606,392977448,392977446,}
392977613;{392977616,392977614,}
392977614;{392977576,392977578,392977613,}
392977615;{392977611,392977616,}
392977616;{392977615,392977613,}
392977618;{392977646,392977620,}
392977619;{392977620,392977621,}
392977620;{392977618,392977619,}
392977621;{392977619,1276801924,}
392977624;{1276801924,392977626,}
392977626;{392977624,1276802016,}
392977627;{392977116,1276802016,}
392977629;{1346788478,1346788571,1346788489,}
392977630;{392977631,392977605,1346788460,1346788494,}
392977631;{1346788476,392977630,}
392977632;{392977778,1274489091,}
392977635;{1274489091,392977636,}
392977636;{392977635,392977981,}
392977638;{392977981,1276802001,}
