Nodes;Addjested Nodes
392985116;{392985070,392983399,}
392985119;{392985122,432200711,}
392985120;{1710288164,392985070,392985122,4676023833,}
392985121;{392985122,392984782,392983299,392985018,}
392985122;{392985119,392985121,392985120,}
392985124;{392985908,392984842,}
392985125;{392984983,392985126,}
392985126;{392985125,1163490057,}
392985131;{392984981,392985086,2435236147,392985145,}
392985132;{392985055,392985063,392985134,}
392985134;{392985135,392985132,}
392985135;{1194301623,392985060,1194301625,392985134,}
392985137;{392985060,392983399,}
392985142;{392985082,4676024140,392985144,}
392985144;{392985142,392985145,}
392985145;{392985131,392985056,392985144,}
392985159;{1166848058,392984955,1166857240,}
392985164;{606694347,1163490057,2324319800,}
392985167;{606694332,2324318831,2416442763,}
392985168;{609006428,3141898396,606694332,}
392985175;{613673792,392985181,609556965,}
392985181;{1761333289,392985175,}
392985191;{1140382423,606351401,2391460705,2391460695,}
392985195;{606351392,606351386,606351399,}
392985196;{1143457667,1140382423,}
392985197;{606351386,1168324480,}
392985236;{606351383,392985268,}
392985240;{606605778,609556982,2329626131,}
392985246;{392984333,2324318495,606605903,2329626133,}
392985247;{2329626123,607411223,}
392985249;{607411220,2324318223,2327099633,607411218,}
392985259;{2329706147,431392665,}
392985267;{1557989013,392985268,}
392985268;{392985267,1557989012,392985236,}
392985269;{1557989014,2545777446,}
392985273;{1557989012,1557989011,}
392985289;{432483973,1502981740,1723195502,}
392985290;{432483973,}
392985317;{1502981731,1502981742,}
392985329;{392985331,}
392985330;{392985331,392986166,}
392985331;{392985329,392985330,}
392985334;{1723195478,392985480,}
392985336;{392985480,392985337,}
392985337;{392985336,392985338,1724861020,1723195492,1732182114,}
392985338;{392985337,}
392985339;{1502981728,}
392985348;{392985349,392985361,}
392985349;{392985350,392985348,}
392985350;{392985351,392985349,}
392985351;{392985352,392985350,}
392985352;{392985353,392985351,}
392985353;{392985352,392985387,410403323,}
392985355;{392985356,392985393,}
392985356;{392985357,392985355,}
392985357;{392985358,392985356,}
392985358;{392985375,392985357,}
392985361;{392985348,392985394,}
392985362;{392985410,392985364,392985363,}
392985363;{392985362,392985374,}
392985364;{392985467,392985362,}
392985365;{392985457,392985366,}
392985366;{392985365,392985402,392985384,392985964,}
392985369;{392985372,392985370,}
392985370;{392985369,410403323,}
392985371;{392985373,392985372,}
392985372;{392985371,392985369,}
392985373;{392985371,}
392985374;{392985363,392985375,}
392985375;{392985374,392985386,392985388,392985358,}
392985378;{392985379,392985387,}
392985379;{392985380,392985378,}
392985380;{392985731,392985488,392985379,}
392985384;{392985388,392985366,}
392985386;{410403323,392985375,}
392985387;{392985378,392985353,}
392985388;{392985375,392985384,}
392985390;{1855173174,392985391,}
392985391;{392985390,392985392,}
392985392;{392986013,392985391,392985399,}
392985393;{392985355,392985394,}
392985394;{392985361,392985393,392985395,}
392985395;{392985394,392985396,}
392985396;{392985395,1855173174,}
392985397;{392985404,392985398,}
392985398;{1497374189,392985397,}
392985399;{392985392,1497374184,}
392985402;{392985403,392985366,}
392985403;{392985404,392985402,1497381241,}
392985404;{392985397,392985403,}
392985405;{392985408,392985426,}
392985408;{392985490,392985405,}
392985410;{392985362,392985455,}
392985412;{392985415,392985469,}
392985414;{392985424,392985415,}
392985415;{392985414,392985412,}
392985416;{392985419,392985417,}
392985417;{392985416,392985490,}
392985418;{392985469,392985419,}
392985419;{392985418,392985416,}
392985420;{392985421,392985426,}
392985421;{392985422,392985420,}
392985422;{392985423,392985421,}
392985423;{392985431,392985422,}
392985424;{392985484,392985414,}
392985426;{392985405,392985434,392985420,}
392985427;{392985432,392985431,392985428,}
392985428;{392985429,392985427,}
392985429;{392985430,392985428,}
392985430;{392985492,392985429,}
392985431;{392985427,392985423,}
392985432;{392985433,392985427,}
392985433;{392985432,}
392985434;{392985426,392985435,}
392985435;{392985493,392985434,392985436,}
392985436;{392985453,392985440,392985435,392985437,}
392985437;{392986079,392985436,392985461,392986001,}
392985438;{392985448,392985439,}
392985439;{392985438,392985457,}
392985440;{392985436,392985441,}
392985441;{392985440,392986012,}
392985442;{392985443,}
392985443;{392985442,392985444,}
392985444;{392985495,392985443,392985445,}
392985445;{392985444,392986012,}
392985448;{392985438,392985451,}
392985450;{392985451,392985453,}
392985451;{392985448,392985450,}
392985453;{392985450,392985436,}
392985454;{392985455,392985457,}
392985455;{392985410,392985454,}
392985456;{392985457,392985565,}
392985457;{392985454,392985456,392985439,392985365,}
392985458;{392985565,392985461,}
392985461;{392985458,392985437,}
392985467;{392985470,392985364,}
392985469;{392985470,392985412,392985418,}
392985470;{392985469,392985467,}
392985472;{1724861035,1724861059,}
392985475;{392985477,1724861035,}
392985477;{392985478,392985475,}
392985478;{392985479,392985477,}
392985479;{392985480,392985478,}
392985480;{392985479,392985334,392985336,}
392985481;{392985482,1502981726,}
392985482;{432483973,392985481,}
392985484;{392985485,392985424,}
392985485;{392985486,392985484,}
392985486;{392985487,392985485,}
392985487;{1705557410,392985486,}
392985488;{392985380,1705557410,}
392985490;{392985417,392985408,392985491,}
392985491;{392985490,392985492,}
392985492;{392985491,392985430,}
392985493;{392985435,392985494,}
392985494;{392985493,392985495,}
392985495;{392985494,392985444,}
392985497;{392986026,392985503,745070556,}
392985503;{745070542,392985497,}
392985504;{392985505,392985507,745070538,}
392985505;{392985504,}
392985507;{392985504,745070542,}
392985523;{392985526,1761332387,392985621,}
392985524;{1761332285,392985525,}
392985525;{392985524,392985526,1761332423,}
392985526;{392985525,392985523,1761332345,}
392985546;{392985559,392985557,}
392985549;{392985585,392985852,}
392985557;{392985546,392985563,}
392985558;{392985559,}
392985559;{392985558,392985546,}
392985560;{392985561,392985853,}
392985561;{392985563,392985560,}
392985563;{392985557,392985561,}
392985565;{392985569,392985456,392985458,}
392985568;{392985569,392985573,}
392985569;{392985565,392985568,}
392985571;{392985572,392985964,392985954,}
392985572;{392985573,392985571,}
392985573;{392985568,392985572,}
392985574;{392985575,}
392985575;{392985574,392985576,}
392985576;{392985575,392985577,}
392985577;{392985579,392985576,392985585,}
392985578;{392985673,392985579,5253538223,}
392985579;{392985578,392985577,}
392985585;{392985577,392985549,}
392985589;{1761331829,1761331836,}
392985592;{392987109,1761331829,}
392985599;{458103778,3727210977,}
392985603;{5318776115,392985613,}
392985604;{3727203263,458103776,}
392985613;{392985603,1761115574,}
392985616;{392985628,}
392985617;{392985618,1761332208,1761332342,}
392985618;{392985619,392985617,}
392985619;{1761332116,392985618,}
392985621;{392984641,392985523,5109246946,}
392985623;{392985624,4473491282,5109246946,}
392985624;{392985625,392985623,}
392985625;{392985626,392985624,}
392985626;{1761332256,392985625,}
392985627;{392985628,1761332256,}
392985628;{392985616,392985627,}
392985660;{392985662,392985673,428069706,}
392985662;{428070572,5253538227,392985660,}
392985663;{1758750924,392985669,1758750927,}
392985664;{428071959,1758750918,1758750924,}
392985665;{392987090,1758750918,}
392985668;{392987073,}
392985669;{392985663,}
392985670;{392987083,5253538247,5253538243,}
392985673;{392985660,1758750931,392985578,}
392985679;{392985681,428070335,}
392985681;{392985679,428070334,}
392985682;{1705557229,1705557274,}
392985684;{1705557274,1705557363,}
392985686;{392985691,392985688,}
392985687;{410403125,392985736,392985688,}
392985688;{392985686,392985687,}
392985691;{392985686,}
392985695;{392985702,392985696,}
392985696;{392985695,392985697,}
392985697;{392985696,1705734588,}
392985699;{392986677,392985700,}
392985700;{392985699,392985701,}
392985701;{392985700,392985702,}
392985702;{392985701,392985695,}
392985703;{392985709,392985734,}
392985706;{1705557363,392985707,}
392985707;{392985706,392985708,}
392985708;{392985707,392985709,}
392985709;{392985708,392985703,}
392985711;{392985713,410403125,746312466,}
392985713;{392986715,392985711,}
392985731;{746312454,392985380,}
392985733;{392985736,392985734,}
392985734;{392985733,746312454,392985703,}
392985735;{1705557291,746312466,1705557287,}
392985736;{392985687,392985733,}
392985739;{1145304563,1145304572,2391460696,}
392985741;{606351405,1309316681,1145578232,}
392985745;{392985746,606351398,}
392985746;{1557989011,392984649,392985745,}
392985752;{392985758,392985753,}
392985753;{392985752,2391460700,606489513,}
392985756;{753536675,1452238326,}
392985757;{1452238326,392985758,753536506,}
392985758;{392985757,392985752,}
392985773;{753595220,753595147,}
392985775;{392985776,392985803,}
392985776;{392985809,392985775,}
392985791;{753595194,753595223,}
392985803;{392985775,753536675,}
392985804;{392985805,392985807,}
392985805;{392985804,}
392985806;{392985807,392985809,}
392985807;{392985804,392985806,}
392985809;{392985806,392985776,}
392985811;{392985813,392985855,392985860,608518658,}
392985813;{392985811,392985815,}
392985815;{392985813,392985818,}
392985818;{392985815,614579080,}
392985821;{614579080,392985823,614579084,}
392985823;{392985821,753595220,753595234,}
392985828;{392985851,1758750959,}
392985832;{1758750959,1758750967,}
392985840;{392985855,392985841,}
392985841;{392985840,392985845,}
392985843;{392985846,392985844,}
392985844;{392985843,392985894,}
392985845;{392985841,392985846,}
392985846;{392985845,392985843,}
392985848;{392985894,608518659,}
392985851;{392985828,392985853,392985852,}
392985852;{392985851,392985549,1758750968,}
392985853;{392985560,392985851,}
392985854;{428075782,}
392985855;{1239779477,392985811,392985840,}
392985857;{392985863,428075572,}
392985859;{428075572,392985860,}
392985860;{392985859,1758750968,392985811,}
392985862;{428075782,392985863,}
392985863;{392985862,392985857,}
392985864;{392985870,428077182,}
392985868;{5047984043,3048531198,}
392985870;{3048531199,392985864,}
392985871;{3048531198,5047985880,}
392985883;{392985886,428077182,}
392985886;{392985888,392985883,}
392985887;{392985890,392985888,}
392985888;{392985926,392985887,392985886,}
392985889;{392986028,392985890,}
392985890;{392985889,392985887,}
392985892;{608518658,392985027,}
392985894;{392985895,392985844,392985848,}
392985895;{392985896,392985894,}
392985896;{392985897,392985895,}
392985897;{392985898,392985896,}
392985898;{392985899,392985897,}
392985899;{392985900,392985898,}
392985900;{392985903,392985899,}
392985903;{392985904,392985900,}
392985904;{392985903,428077182,392984746,}
392985907;{753595181,753595236,}
392985908;{392985915,392985124,}
392985910;{392985911,}
392985911;{392985910,392985912,}
392985912;{392985911,392985913,}
392985913;{392985912,392985914,}
392985914;{392985913,392985915,}
392985915;{392985914,392985908,}
392985918;{392985919,}
392985919;{392985918,392985920,}
392985920;{392985919,392985921,}
392985921;{392985920,392985922,}
392985922;{392985921,392985923,}
392985923;{392985922,392985009,}
392985924;{392985926,}
392985926;{392985924,392985888,}
392985930;{392985931,392985933,}
392985931;{392985942,392985930,}
392985932;{392985933,392985935,}
392985933;{392985930,392985932,}
392985934;{392985935,392985937,}
392985935;{392985932,392985934,}
392985937;{392985934,1239779477,}
392985942;{392985931,}
392985951;{392986081,1713038635,}
392985954;{392985571,392986079,}
392985959;{1713038907,392985965,}
392985960;{1713038832,1713038902,}
392985961;{614271019,1713038832,614579090,}
392985964;{392985366,392985571,}
392985965;{392985959,1713038986,}
392985968;{392985971,392985969,}
392985969;{392985968,1713038814,}
392985971;{2678597843,392985968,}
392985972;{2678645232,392985998,}
392985974;{392985977,392986000,}
392985977;{392985996,392985974,}
392985978;{2678597800,1713038986,1713039004,}
392985979;{1713038952,392985980,1713038960,}
392985980;{392985979,2678597800,}
392985986;{406574122,2678723902,5047984043,}
392985995;{392986012,392985996,}
392985996;{392985977,392985995,}
392985998;{392985972,2678597843,392986017,}
392986000;{392985974,406574122,392986006,}
392986001;{392986008,392986002,392985437,}
392986002;{392986001,392986010,}
392986006;{392986008,392986000,}
392986008;{392986001,392986006,392986012,410403884,}
392986010;{392986002,410403569,392986081,}
392986012;{392985441,392985995,392986008,392985445,}
392986013;{392985392,1714903240,}
392986015;{392986016,2678645232,}
392986016;{1714903240,392986015,}
392986017;{2678645227,392985998,}
392986023;{392986026,392986024,}
392986024;{392986023,392986028,}
392986026;{392985497,392986023,}
392986027;{1464549246,1713038952,525627742,}
392986028;{392986024,392985889,}
392986030;{1713038865,392986084,}
392986033;{1713038918,525627738,}
392986034;{392986035,392986039,}
392986035;{392986034,2680057820,2412832896,}
392986038;{392986039,1713038814,1464549246,}
392986039;{392986034,392986038,}
392986041;{2412832888,1687343194,}
392986044;{2679089448,2412832888,2678613547,}
392986045;{392986046,2678613547,}
392986046;{2679089446,1719395868,392986045,}
392986047;{1714903363,432483967,1732182163,}
392986048;{1714903316,1732182163,1724861116,}
392986050;{1714903277,392986051,1719395807,}
392986051;{392986050,392986062,1714903311,}
392986058;{392986148,1239779450,1729209684,1729209701,}
392986062;{1855173191,392986051,1719395751,}
392986066;{392986097,392983743,1948697163,}
392986071;{1692346913,1723195518,1723195516,}
392986075;{1714903401,392986100,}
392986079;{392985437,392985954,410403569,}
392986081;{392986082,392986010,392985951,}
392986082;{410403884,392986081,}
392986084;{392986085,392986030,}
392986085;{392986086,392986084,}
392986086;{392986087,392986085,}
392986087;{392986086,1713038775,392986118,}
392986096;{392986097,1714903387,1714903322,}
392986097;{392986096,1719395861,1714903311,392986066,}
392986098;{392986101,1714903361,}
392986100;{1723195519,392986075,392986101,}
392986101;{392986100,392986098,}
392986102;{392986113,392986105,}
392986105;{5253578743,392986102,}
392986107;{392986108,392986113,}
392986108;{392986107,}
392986109;{392986110,392986112,}
392986110;{392986114,392986109,}
392986111;{392986112,392983941,}
392986112;{392986109,392986111,}
392986113;{392986115,392986107,392986102,}
392986114;{392986115,392986110,}
392986115;{392986113,392986114,}
392986116;{2678597819,4607684050,}
392986117;{1713038655,4607684052,}
392986118;{4607684052,392986087,}
392986131;{392986132,392986137,}
392986132;{392986140,392986131,}
392986133;{392986134,1732182152,392986157,}
392986134;{392986135,392986133,1724861099,}
392986135;{1724861046,392986134,1724861073,}
392986136;{1732182110,1724861046,}
392986137;{392986131,392986138,1239779450,}
392986138;{392986139,392986137,}
392986139;{392986178,392986138,}
392986140;{392986141,392986132,}
392986141;{392986142,392986140,}
392986142;{392986143,392986141,}
392986143;{392986142,}
392986144;{392986145,392986155,}
392986145;{1468413584,392986144,}
392986148;{392986058,392986151,}
392986150;{392986151,1732182170,1732182162,}
392986151;{392986148,392986150,}
392986152;{392986168,392986153,}
392986153;{392986152,1732182151,}
392986155;{392983910,392986144,}
392986157;{392986133,1729209682,}
392986158;{392986159,392986161,}
392986159;{392986170,392986158,}
392986160;{392986161,392986163,}
392986161;{392986158,392986160,}
392986163;{2460987636,392986160,}
392986164;{392986179,}
392986165;{392986166,392986168,}
392986166;{392985330,392986165,}
392986168;{392986165,392986152,}
392986170;{392986875,392986159,}
392986172;{392986185,392986173,}
392986173;{392986172,746605731,}
392986176;{392986177,}
392986177;{392986176,392986178,}
392986178;{392986177,392986139,}
392986179;{392986164,2460987632,}
392986182;{392986183,}
392986183;{392986182,392986184,}
392986184;{392986183,392986185,}
392986185;{392986184,392986172,}
392986186;{392986197,392980749,}
392986197;{392986186,}
392986199;{392986202,392986200,}
392986200;{392986199,392986213,}
392986201;{392986204,392986202,}
392986202;{392986201,392986199,}
392986203;{392986206,392986204,}
392986204;{392986203,392986201,}
392986205;{392986359,392986206,}
392986206;{392986205,392986203,}
392986213;{432188695,392980748,392986200,}
392986229;{1836327691,1836327682,1836327687,1744450394,}
392986230;{3274932939,1296575308,3757939883,}
392986232;{3130903071,3274933793,3130903069,3757939899,}
392986233;{2452436670,2938709841,2907095373,2938709848,}
392986235;{1836327677,2938709833,1836327660,2908428134,}
392986236;{1744450647,1744195188,4034450779,1744195190,}
392986237;{2907095376,2916307166,2430804086,2430814940,}
392986244;{4034450723,1744597166,2894799631,2894791178,}
392986259;{1783547149,}
392986266;{614004465,1745321886,}
392986271;{2835565157,392986272,2476847872,}
392986272;{392986271,4034450758,}
392986273;{418086481,2463233761,1406172454,}
392986275;{1783547226,1383927320,2293801621,1783547195,}
392986276;{2893527992,4034450781,}
392986291;{4237022293,392986304,}
392986292;{2111018941,1263107187,}
392986293;{392986296,392986294,}
392986294;{392986293,392986302,1335828065,392986313,}
392986296;{392987760,392986293,}
392986297;{392986300,392986298,}
392986298;{392986297,4237021477,}
392986299;{392986301,392986300,}
392986300;{392986299,392986297,}
392986301;{392987765,392986299,}
392986302;{392986305,392986294,}
392986304;{392986291,392986305,}
392986305;{392986304,392986302,}
392986306;{392986307,}
392986307;{392986308,392986306,}
392986308;{392986309,392986307,}
392986309;{392986310,392986308,}
392986310;{392986309,392986311,}
392986311;{392986320,392986310,}
392986313;{392986294,4344891070,}
392986315;{392986316,1335828064,}
392986316;{392986317,392986315,}
392986317;{4344891062,392986316,}
392986320;{2111018943,4344891070,392986311,}
392986321;{1865270061,}
392986324;{392986330,392986325,}
392986325;{392986324,392986326,}
392986326;{392986325,1865270061,392986343,432188695,}
392986329;{392986330,}
392986330;{392986329,392986324,}
392986335;{392986337,}
392986336;{392986337,392986357,}
392986337;{392986335,392986336,}
392986340;{392986359,392986350,}
392986343;{392986579,392986326,1197087565,}
392986344;{392986345,392979978,}
392986345;{1865270056,392986344,}
392986348;{392986351,392986353,}
392986350;{392986340,392986351,1769544951,}
392986351;{392986350,392986348,}
392986353;{392986348,392986354,}
392986354;{392986353,392980826,}
392986355;{392986358,2938709598,}
392986357;{392986336,392986358,}
392986358;{392986357,392986355,}
392986359;{392986361,392986340,392986205,}
392986361;{392986359,}
392986363;{1769545010,1769544948,}
392986364;{1769544948,1293805443,}
392986370;{392986371,1769544947,}
392986371;{1769544915,392986370,1769544929,}
392986372;{392986605,1769544915,}
392986373;{1769544918,392986374,}
392986374;{392986373,2938709598,1199784081,}
392986376;{1705556884,392986377,}
392986377;{392986376,392986379,}
392986379;{392986377,392986382,}
392986381;{392989244,1705556913,}
392986382;{1705556913,1705556917,392986379,}
392986384;{1705556861,392986385,}
392986385;{392986384,392986386,}
392986386;{392986385,392986395,}
392986388;{1705556879,392986399,}
392986389;{392986390,392986398,}
392986390;{392986401,392986389,}
392986394;{392986395,746312474,}
392986395;{392989267,392986394,392986386,}
392986396;{1705556917,392986398,}
392986398;{392986396,1705556938,392986389,}
392986399;{392986388,392986402,1705556883,}
392986401;{392986402,392986390,}
392986402;{392986399,392986401,}
392986403;{5444574028,5444574026,2616584979,}
392986407;{418090012,392986425,3141314119,}
392986411;{3227796442,3227796451,3227796468,2881612525,}
392986421;{2930479981,2938709831,2916307140,392987700,}
392986423;{2894801270,1744597086,1744597060,}
392986425;{392986407,392986545,3141315347,}
392986429;{2098187360,2452436685,2925765907,2098210710,}
392986435;{1690043226,392987770,}
392986438;{392986440,392986439,}
392986439;{392986535,392986529,392986438,}
392986440;{392986520,392986519,392986438,}
392986448;{1781833814,1744597018,}
392986460;{392989992,392989990,392986510,392986461,}
392986461;{392986460,392986483,392986498,}
392986463;{392986479,392986464,}
392986464;{392986463,392986465,392986483,392986481,}
392986465;{392986464,392986490,}
392986467;{1201816548,392986479,392986483,}
392986471;{2451897193,2451897204,}
392986474;{392987979,392987793,392987791,392986475,}
392986475;{392987997,1760875662,392986474,}
392986479;{392986467,392986482,392986463,}
392986481;{392986482,392986464,392986487,}
392986482;{392986479,392986481,}
392986483;{392986467,392986461,392989992,392986464,}
392986487;{392987615,392986481,392986489,}
392986489;{392986487,}
392986490;{392986493,392986491,392986465,}
392986491;{392986490,392986496,392986498,}
392986493;{392987615,392986490,}
392986494;{392986497,392989988,}
392986496;{392986491,392986497,}
392986497;{392986496,392986494,}
392986498;{392986461,392989990,392986491,}
392986500;{392986505,392986503,442401347,}
392986503;{2452855846,392986523,392986500,}
392986505;{392986500,392989990,392986523,410270992,}
392986509;{392986510,392987945,}
392986510;{392986460,410270992,392986509,}
392986512;{392986516,3135042351,}
392986513;{2881628862,2655422710,2887010791,2655422687,}
392986516;{392986512,}
392986519;{392986440,392986522,392986529,2416454840,}
392986520;{392986440,}
392986521;{2881628871,2619050987,392987789,}
392986522;{392986519,2452855848,}
392986523;{392986503,2430155103,392986505,}
392986525;{2452855846,2655422687,2655422681,}
392986526;{2107960431,2107960441,392987758,}
392986528;{2430155103,392989988,}
392986529;{392986439,392986519,}
392986532;{2416454840,2107960437,}
392986534;{392989988,2430155121,}
392986535;{2430155121,392986439,2451897204,}
392986536;{392986537,392987571,}
392986537;{2107960456,392986536,}
392986545;{392986425,418090012,1088070375,2317998841,}
392986551;{536573264,536573261,}
392986558;{418089432,2463233769,}
392986565;{392986566,392986568,}
392986566;{392986577,392986565,392986585,}
392986568;{392986565,1464962828,5251483319,}
392986569;{392986571,}
392986570;{392986571,432188477,}
392986571;{392986569,392986570,}
392986573;{392987578,3435359486,}
392986576;{3435359486,392987608,}
392986577;{392986578,392986566,}
392986578;{2605839814,392986577,}
392986579;{1197087607,392986343,}
392986581;{3099865305,392986582,}
392986582;{392986581,392986583,}
392986583;{392986582,392986584,}
392986584;{392986583,392986585,}
392986585;{392986584,392986566,}
392986588;{392987587,392986589,4344891062,}
392986589;{392986588,392987574,}
392986591;{392987574,1197100306,}
392986592;{1252640572,1252640673,}
392986593;{1252640587,1197087607,3435359703,}
392986599;{392986600,392986605,}
392986600;{1792155128,392986599,1199784078,}
392986603;{392986604,392986613,}
392986604;{392986611,392986603,}
392986605;{392986599,392986372,3227861631,}
392986606;{392986611,}
392986609;{1792155081,392986612,}
392986610;{1792155062,1792155117,1197135921,}
392986611;{392986606,3227861631,392986604,}
392986612;{392986609,}
392986613;{392986603,}
392986614;{432188477,}
392986617;{3227861624,3227861625,4232346501,}
392986618;{3227861625,1792155062,}
392986621;{392986720,392986715,1705557274,}
392986636;{392986730,392986808,}
392986641;{392986644,}
392986644;{392986641,392986645,}
392986645;{392986644,392986646,}
392986646;{1705557100,1705557162,392986645,}
392986648;{392986650,392986655,}
392986650;{392986651,392986648,}
392986651;{1705734487,392986650,}
392986652;{392986654,392986659,}
392986654;{392986655,392986652,}
392986655;{392986648,392986654,}
392986656;{392986673,392986659,}
392986659;{392986652,392986656,1705734485,}
392986660;{392986666,1705734493,}
392986664;{392987066,392986666,}
392986666;{392986664,392986660,}
392986671;{392986673,392986677,}
392986673;{1705734491,392986656,392986671,}
392986677;{392986671,392985699,}
392986678;{392986760,392986750,428083785,}
392986699;{392986713,392986799,}
392986700;{392986799,392986701,}
392986701;{392986700,392986702,}
392986702;{392986701,392986817,}
392986712;{392986713,746605731,392986857,}
392986713;{392986712,392986699,}
392986715;{392986717,392985713,392986621,}
392986717;{1705557236,392986715,}
392986718;{1705557222,1705557236,}
392986720;{1705557203,1705557222,392986621,}
392986730;{392986732,392986636,}
392986732;{392986743,392986730,}
392986743;{392986732,392986999,392986755,}
392986746;{392986749,392986770,}
392986748;{392986750,392986749,}
392986749;{392986748,392986746,}
392986750;{392986748,392986757,392986678,}
392986755;{392986743,392986757,}
392986757;{392986755,392986750,}
392986760;{392986770,392986678,}
392986770;{392986746,392986760,}
392986773;{392986842,392986775,392986787,392986790,}
392986775;{392986773,392986776,}
392986776;{392986775,392986778,}
392986778;{392986776,}
392986780;{392986781,}
392986781;{392986780,392986783,}
392986783;{392986781,392986803,}
392986785;{428086815,392986787,}
392986787;{392986785,392986773,392986832,392986833,}
392986790;{392986773,}
392986794;{392986810,392986842,392986832,}
392986796;{392986798,392986847,392986797,1505945397,}
392986797;{392986798,2460987638,392986796,}
392986798;{392986849,392986796,392986797,392986828,}
392986799;{2460987639,392986699,392986700,}
392986802;{392986803,392986805,}
392986803;{392986783,392986802,}
392986804;{392986805,392986807,}
392986805;{392986802,392986804,}
392986806;{392986807,392986808,}
392986807;{392986804,392986806,}
392986808;{392986806,392986636,1705557291,}
392986809;{392986812,392986810,392986813,392986832,}
392986810;{392986794,392986809,}
392986812;{428083788,392986809,}
392986813;{428083785,392986809,}
392986817;{392986702,1505945398,}
392986820;{392986855,392986832,}
392986822;{392986823,392986828,}
392986823;{392986824,392986822,}
392986824;{392986825,392986823,}
392986825;{392986833,392986824,}
392986828;{392986822,392986798,}
392986832;{392986820,392986794,392986809,392986787,}
392986833;{392986834,392986825,392986787,}
392986834;{428086822,392986833,}
392986836;{392986840,}
392986840;{392986836,392986846,}
392986842;{392986794,392986773,}
392986843;{392986844,392986850,}
392986844;{392986845,392986843,}
392986845;{392986846,392986844,}
392986846;{392986840,392986845,}
392986847;{392986796,392986878,}
392986849;{392986850,392986798,392986881,}
392986850;{392986843,392986849,392986885,}
392986855;{428083788,428086815,392986820,}
392986857;{428086822,392986712,}
392986865;{392986867,392986868,392986889,}
392986867;{392986877,392986865,}
392986868;{392986865,}
392986873;{392986877,392986875,}
392986875;{392986873,392986170,}
392986877;{392986867,392986890,392986873,4447511355,}
392986878;{392986847,}
392986881;{392986882,392986849,}
392986882;{392986883,392986881,}
392986883;{2460987638,392986890,392986882,4447512791,}
392986885;{392986889,392986850,}
392986889;{392986865,392986885,392986890,}
392986890;{392986883,392986877,392986889,4447512459,}
392986897;{1705155697,}
392986949;{392986952,392986950,}
392986950;{392986949,1705734363,}
392986951;{1705734380,392986952,1705734356,}
392986952;{392986951,392986949,}
392986954;{1705734325,}
392986957;{1728629385,392989205,392986960,}
392986958;{1728629385,}
392986960;{1705734338,392986957,1705734377,}
392986961;{1705734363,392986962,}
392986962;{392986961,1705734338,}
392986976;{392986977,1705557016,1705556999,}
392986977;{1705556991,392986976,1705556997,}
392986979;{392986998,392986992,392986980,}
392986980;{392986981,392986992,392986979,}
392986981;{1705557016,392986980,1705557021,}
392986990;{1705155578,1705155626,3727198969,}
392986992;{392986980,392986979,392986999,}
392986998;{1705155626,392986979,}
392986999;{392986992,392986743,}
392987005;{1761331650,1761331775,392987021,}
392987006;{392987014,1761331650,}
392987008;{1761331553,1761331644,}
392987010;{1761331334,392987016,}
392987014;{1761331563,392987006,1761331551,}
392987015;{392987016,1761331363,}
392987016;{392987010,392987015,}
392987017;{392987020,392987018,}
392987018;{392987017,392987024,}
392987019;{1761331749,392987020,}
392987020;{392987019,392987017,}
392987021;{392987025,392987005,}
392987024;{392987018,392987025,}
392987025;{392987024,392987021,}
392987026;{1761331361,392987031,}
392987028;{364906523,1761331347,}
392987029;{1761331347,1761331361,}
392987031;{392987026,1761331553,}
392987035;{392987036,392987038,}
392987036;{392987035,392987060,}
392987037;{392987038,392987064,}
392987038;{392987035,392987037,}
392987040;{392987052,}
392987046;{392987060,392987047,}
392987047;{392987046,392987048,}
392987048;{392987047,392987049,}
392987049;{392987048,392987050,}
392987050;{392987049,392987051,}
392987051;{392987050,392987052,}
392987052;{392987051,392987040,}
392987060;{392987036,392987046,}
392987061;{392987062,1705734487,}
392987062;{392987063,392987061,}
392987063;{392987064,392987062,}
392987064;{392987037,392987063,}
392987066;{1705734476,392986664,}
392987071;{428069701,}
392987073;{392987074,428069701,392985668,428070572,}
392987074;{392987076,392987073,428071959,}
392987076;{3541142129,392987074,}
392987080;{392987095,5253538230,5253538232,}
392987083;{392985670,5253538232,1758750903,5253538234,}
392987090;{392985665,5253538228,3541142134,}
392987095;{392987080,}
392987108;{1761331783,392987109,}
392987109;{392987108,392985592,}
392987113;{1761331710,1761331779,}
392987114;{392987115,}
392987115;{392987116,392987114,}
392987116;{1784374652,392987115,1784374634,}
392987120;{2441231816,3635886390,2441231823,4268767078,}
392987121;{392987309,2142351021,}
392987122;{392987123,1784374659,1784374639,2142350938,}
392987123;{3635886389,392987122,2395036211,}
392987126;{392987214,2450643338,4268767789,}
392987130;{1290810437,1740301686,}
392987141;{392987142,1704590603,}
392987142;{392987553,392987141,}
392987143;{392987144,5253604674,}
392987144;{1704590603,392987143,}
392987146;{5253604674,392987155,}
392987147;{392987148,392987167,}
392987148;{392987155,392987147,}
392987153;{392987155,}
392987155;{392987153,392987146,392987148,}
392987158;{1683114423,392987160,}
392987160;{392987158,1740301982,}
392987163;{392987165,}
392987165;{392987163,392987166,}
392987166;{392987165,392987287,}
392987167;{392987147,}
392987168;{392987276,392987274,}
392987172;{544211624,544196207,}
392987174;{3135041834,2401366791,3135041867,}
392987175;{392987176,3135041834,}
